x,y,title,tokens,word,poem_title,author,period,link
0.017993417,0.02705154,built campanile lifts to the neighbouring moon her **head** and feels the pale gold like an ocean laving,built camp ##ani ##le lifts to the neighbouring moon her head and feels the pale gold like an ocean la ##ving,head,From Piccadilly In August,John Frederick Freeman,20th Century,http://public-domain-poetry.com/john-frederick-freeman/from-piccadilly-in-august-16092
0.021128276,-0.01570728,"his dream his glory pass away; tried in his **heart**, his weary **heart**, to pray: ""o","his dream his glory pass away ; tried in his heart , his weary heart , to pray : "" o",heart,"Fighting Mac"" A Life Tragedy",Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/fighting-mac-a-life-tragedy-31008
0.021498961,-0.016621571,"pass away; tried in his **heart**, his weary **heart**, to pray: ""o god! who made","pass away ; tried in his heart , his weary heart , to pray : "" o god ! who made",heart,"Fighting Mac"" A Life Tragedy",Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/fighting-mac-a-life-tragedy-31008
0.019995322,-0.016494757,"of rob roy and roderick dhu. eating his **heart** out with a wild desire, one day, behind","of rob roy and roderick dh ##u . eating his heart out with a wild desire , one day , behind",heart,"Fighting Mac"" A Life Tragedy",Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/fighting-mac-a-life-tragedy-31008
0.020227997,-0.019813564,"strain, the glorious swan-song of a dying **heart**. a lame tramp comes along the railway track","strain , the glorious swan - song of a dying heart . a lame tram ##p comes along the railway track",heart,Music In The Bush,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/music-in-the-bush-31002
0.021278135,-0.015456191,"undefiled:--here, on my **heart** uplift, behold the gift,--thy","und ##ef ##iled : - - here , on my heart up ##lift , behold the gift , - - thy",heart,Canticle Of The Babe,Josephine Preston Peabody,20th Century,http://public-domain-poetry.com/josephine-preston-peabody/canticle-of-the-babe-28355
0.019102765,-0.012313867,"the strength of it, the word, the royal **heart** of it. childhood will not return; but have","the strength of it , the word , the royal heart of it . childhood will not return ; but have",heart,Paradise Lost,"John Collings Squire, Sir",20th Century,http://public-domain-poetry.com/john-collings-squire/paradise-lost-37962
0.02028523,-0.02068494,". and i wonder, does she know that my **heart** is in the dough? come with me, under",". and i wonder , does she know that my heart is in the dough ? come with me , under",heart,,,,
0.018221084,0.019079285,", and nothing is left to do, but an **eye** to look into an **eye** and a hand in a",", and nothing is left to do , but an eye to look into an eye and a hand in a",eye,The Coolun,James Stephens,20th Century,http://public-domain-poetry.com/james-stephens/coolun-38032
0.018137816,0.020123923,"to do, but an **eye** to look into an **eye** and a hand in a hand to slip, and","to do , but an eye to look into an eye and a hand in a hand to slip , and",eye,The Coolun,James Stephens,20th Century,http://public-domain-poetry.com/james-stephens/coolun-38032
0.019496493,-0.011661879,and patted shelley and said with his hand on his **heart** he would brook no interference from morals in any matter,and patted shelley and said with his hand on his heart he would brook no interference from morals in any matter,heart,At a Lecture,Edward Shanks,20th Century,http://public-domain-poetry.com/edward-shanks/at-a-lecture-37917
0.021283796,-0.017926706,"ss grin of fate. take warning of your own **heart**'s inward voice, bid your own soul be","##ss grin of fate . take warning of your own heart ' s inward voice , bid your own soul be",heart,The Fugitive,John Le Gay Brereton,20th Century,http://public-domain-poetry.com/john-le-gay-brereton/fugitive-6995
